actor,total movies
Stephen Rea,8
Kang-ho Song,8
Bruce Dern,8
Michael Ealy,8
Rebecca Hall,8
Selena Gomez,8
Mary-Louise Parker,8
Daniel Radcliffe,8
Alan Arkin,8
Albert Finney,8
John Cleese,8
Rick Moranis,8
Jim Belushi,8
Timothy Spall,8
John Hurt,8
Christopher Reeve,8
Jamie Bell,8
Rosamund Pike,8
Carrie-Anne Moss,8
Kerry Washington,8
Natascha McElhone,8
Miranda Richardson,8
Jason Isaacs,8
Roger Moore,8
Kathleen Turner,8
Rob Schneider,8
Tom Hiddleston,8
Margot Robbie,8
Matthew Goode,8
Donnie Yen,8
Sean Bean,8
Anjelica Huston,8
Topher Grace,8
Jennifer Love Hewitt,8
Dane Cook,8
Bill Paxton,8
Queen Latifah,8
Chloë Grace Moretz,8
Jessica Lange,8
John Candy,8
Jonathan Pryce,8
Eric Bana,8
Josh Gad,8
Katherine Heigl,8
Christina Applegate,8
Bryce Dallas Howard,8
Martin Short,8
Alicia Vikander,8
Garrett Hedlund,8
Jason Sudeikis,8
Patrick Stewart,8
Rooney Mara,7
Parker Posey,7
Kate Mara,7
Robert Carlyle,7
Felicity Jones,7
Anne Heche,7
Anne Bancroft,7
John Corbett,7
Michael B. Jordan,7
Gene Wilder,7
Ellen Page,7
Talia Shire,7
Hope Davis,7
Alessandro Nivola,7
Jena Malone,7
Walter Matthau,7
Andie MacDowell,7
Karen Allen,7
Vivica A. Fox,7
Leelee Sobieski,7
Ned Beatty,7
Charles Bronson,7
Harry Connick Jr.,7
Steve Guttenberg,7
Diego Luna,7
Elijah Wood,7
Chris Klein,7
Jon Bernthal,7
Brad Dourif,7
Stanley Tucci,7
Sharlto Copley,7
Jim Sturgess,7
Isabelle Huppert,7
Dane DeHaan,7
Julie Delpy,7
Mira Sorvino,7
Liv Tyler,7
Marlon Wayans,7
Nancy Allen,7
Amanda Peet,7
Johnny Knoxville,7
Rebel Wilson,7
Steve McQueen,7
George Kennedy,7
Patrick Swayze,7
Warren Beatty,7
Javier Bardem,7
Tobin Bell,7
Alan Rickman,7
Mark Hamill,7
Madonna,7
Jared Leto,7
Bridget Fonda,7
Omar Epps,7
Lisa Kudrow,7
David Arquette,7
Barry Pepper,7
Olga Kurylenko,7
Adam Brody,7
Carmen Ejogo,7
Juliette Lewis,7
Lou Diamond Phillips,7
Albert Brooks,7
Maggie Grace,7
Daryl Hannah,7
Megan Fox,7
Ben Mendelsohn,7
Jim Broadbent,7
Gabrielle Union,7
William Fichtner,7
Ben Foster,7
Mark Strong,7
Kenneth Branagh,7
Vincent Cassel,7
Marion Cotillard,7
Michael Cera,7
Eugene Levy,7
Cher,7
David Thewlis,7
